Zirport ID,Name ,City ,Country ,IATA,ICAO,Latitude,longitude ,Altidude,Time Zone,DST,Database time zone,Type of Airport,Source
3532,Upolu Airport,Opolu,United States,UPP,PHUP,20.27,-155.86,96,-10,A,Pacific/Honolulu,airport,OurAirports
3533,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FLL,KFLL,26.07,-80.15,9,-5,A,America/New_York,airport,OurAirports
3534,Muskogee-Davis Regional Airport,Muskogee,United States,\N,KMKO,35.66,-95.37,611,-6,A,America/Chicago,airport,OurAirports
3535,Falls International Airport,International Falls,United States,INL,KINL,48.57,-93.40,1185,-6,A,America/Chicago,airport,OurAirports
3536,Salt Lake City International Airport,Salt Lake City,United States,SLC,KSLC,40.79,-111.98,4227,-7,A,America/Denver,airport,OurAirports
3537,Childress Municipal Airport,Childress,United States,CDS,KCDS,34.43,-100.29,1954,-6,A,America/Chicago,airport,OurAirports
3538,Keesler Air Force Base,Biloxi,United States,BIX,KBIX,30.41,-88.92,33,-6,A,America/Chicago,airport,OurAirports
3539,Lawson Army Air Field (Fort Benning),Fort Benning,United States,LSF,KLSF,32.34,-84.99,232,-5,A,America/New_York,airport,OurAirports
3540,Kingsville Naval Air Station,Kingsville,United States,NQI,KNQI,27.51,-97.81,50,-6,A,America/Chicago,airport,OurAirports
3541,Marshall Army Air Field,Fort Riley,United States,FRI,KFRI,39.06,-96.76,1065,-6,A,America/Chicago,airport,OurAirports
3542,Harrisburg International Airport,Harrisburg,United States,MDT,KMDT,40.19,-76.76,310,-5,A,America/New_York,airport,OurAirports
3543,Lincoln Airport,Lincoln,United States,LNK,KLNK,40.85,-96.76,1219,-6,A,America/Chicago,airport,OurAirports
3544,Capital City Airport,Lansing,United States,LAN,KLAN,42.78,-84.59,861,-5,A,America/New_York,airport,OurAirports
3545,Waimea Kohala Airport,Kamuela,United States,MUE,PHMU,20.00,-155.67,2671,-10,A,Pacific/Honolulu,airport,OurAirports
3546,Massena International Richards Field,Massena,United States,MSS,KMSS,44.94,-74.85,215,-5,A,America/New_York,airport,OurAirports
3547,Hickory Regional Airport,Hickory,United States,HKY,KHKY,35.74,-81.39,1190,-5,A,America/New_York,airport,OurAirports
3548,Albert Whitted Airport,St. Petersburg,United States,SPG,KSPG,27.77,-82.63,7,-5,A,America/New_York,airport,OurAirports
3549,Page Field,Fort Myers,United States,FMY,KFMY,26.59,-81.86,17,-5,A,America/New_York,airport,OurAirports
3550,George Bush Intercontinental Houston Airport,Houston,United States,IAH,KIAH,29.98,-95.34,97,-6,A,America/Chicago,airport,OurAirports
3551,Millinocket Municipal Airport,Millinocket,United States,\N,KMLT,45.65,-68.69,408,-5,A,America/New_York,airport,OurAirports
3552,Joint Base Andrews,Camp Springs,United States,ADW,KADW,38.81,-76.87,280,-5,A,America/New_York,airport,OurAirports
3553,Smith Reynolds Airport,Winston-salem,United States,INT,KINT,36.13,-80.22,969,-5,A,America/New_York,airport,OurAirports
3554,Southern California Logistics Airport,Victorville,United States,VCV,KVCV,34.60,-117.38,2885,-8,A,America/Los_Angeles,airport,OurAirports
3555,Bob Sikes Airport,Crestview,United States,CEW,KCEW,30.78,-86.52,213,-6,A,America/Chicago,airport,OurAirports
3556,Wheeler Sack Army Air Field,Fort Drum,United States,\N,KGTB,44.06,-75.72,688,-5,A,America/New_York,airport,OurAirports
3557,St Clair County International Airport,Port Huron,United States,PHN,KPHN,42.91,-82.53,650,-5,A,America/New_York,airport,OurAirports
3558,Meadows Field,Bakersfield,United States,BFL,KBFL,35.43,-119.06,510,-8,A,America/Los_Angeles,airport,OurAirports
3559,El Paso International Airport,El Paso,United States,ELP,KELP,31.81,-106.38,3959,-7,A,America/Denver,airport,OurAirports
3560,Valley International Airport,Harlingen,United States,HRL,KHRL,26.23,-97.65,36,-6,A,America/Chicago,airport,OurAirports
3561,Columbia Metropolitan Airport,Columbia,United States,CAE,KCAE,33.94,-81.12,236,-5,A,America/New_York,airport,OurAirports
3562,Davis Monthan Air Force Base,Tucson,United States,DMA,KDMA,32.17,-110.88,2704,-7,A,America/Phoenix,airport,OurAirports
3563,Pensacola Naval Air Station/Forrest Sherman Field,Pensacola,United States,NPA,KNPA,30.35,-87.32,28,-6,A,America/Chicago,airport,OurAirports
3564,Pensacola Regional Airport,Pensacola,United States,PNS,KPNS,30.47,-87.19,121,-6,A,America/Chicago,airport,OurAirports
3565,Grand Forks Air Force Base,Red River,United States,RDR,KRDR,47.96,-97.40,913,-6,A,America/Chicago,airport,OurAirports
3566,William P Hobby Airport,Houston,United States,HOU,KHOU,29.65,-95.28,46,-6,A,America/Chicago,airport,OurAirports
3567,Buckley Air Force Base,Buckley,United States,BFK,KBKF,39.70,-104.75,5662,-7,A,America/Denver,airport,OurAirports
3568,Northway Airport,Northway,United States,ORT,PAOR,62.96,-141.93,1715,-9,A,America/Anchorage,airport,OurAirports
3569,"Warren ""Bud"" Woods Palmer Municipal Airport",Palmer,United States,PAQ,PAAQ,61.59,-149.09,242,-9,A,America/Anchorage,airport,OurAirports
3570,Pittsburgh International Airport,Pittsburgh,United States,PIT,KPIT,40.49,-80.23,1203,-5,A,America/New_York,airport,OurAirports
3571,Wiley Post Will Rogers Memorial Airport,Barrow,United States,BRW,PABR,71.29,-156.77,44,-9,A,America/Anchorage,airport,OurAirports
3572,Ellington Airport,Houston,United States,EFD,KEFD,29.61,-95.16,32,-6,A,America/Chicago,airport,OurAirports
3573,Whidbey Island Naval Air Station (Ault Field),Whidbey Island,United States,NUW,KNUW,48.35,-122.66,47,-8,A,America/Los_Angeles,airport,OurAirports
3574,Alice International Airport,Alice,United States,ALI,KALI,27.74,-98.03,178,-6,A,America/Chicago,airport,OurAirports
3575,Moody Air Force Base,Valdosta,United States,VAD,KVAD,30.97,-83.19,233,-5,A,America/New_York,airport,OurAirports
3576,Miami International Airport,Miami,United States,MIA,KMIA,25.79,-80.29,8,-5,A,America/New_York,airport,OurAirports
3577,Seattle Tacoma International Airport,Seattle,United States,SEA,KSEA,47.45,-122.31,433,-8,A,America/Los_Angeles,airport,OurAirports
3578,Lovell Field,Chattanooga,United States,CHA,KCHA,35.04,-85.20,683,-5,A,America/New_York,airport,OurAirports
